sample_name,group,R1,replicate
AAVS1-1655+1656_A1810a_B1883c,AAVS1-1655+1656_A1810a_B1883c,SRR17170198.fastq.gz,1
AAVS1-1655+1656_A1810a_B1902a,AAVS1-1655+1656_A1810a_B1902a,SRR17170197.fastq.gz,1
AAVS1-1655+1656_A1810a_B1902b,AAVS1-1655+1656_A1810a_B1902b,SRR17170412.fastq.gz,1
AAVS1-1655+1656_A1810a_B1902c,AAVS1-1655+1656_A1810a_B1902c,SRR17170411.fastq.gz,1
AAVS1-1655+1656_A1810b_B1883a,AAVS1-1655+1656_A1810b_B1883a,SRR17170410.fastq.gz,1
AAVS1-1655+1656_A1810b_B1883b,AAVS1-1655+1656_A1810b_B1883b,SRR17170409.fastq.gz,1
AAVS1-1655+1656_A1810b_B1883c,AAVS1-1655+1656_A1810b_B1883c,SRR17170406.fastq.gz,1
AAVS1-1655+1656_A1810b_B1902a,AAVS1-1655+1656_A1810b_B1902a,SRR17170405.fastq.gz,1
AAVS1-1655+1656_A1810b_B1902b,AAVS1-1655+1656_A1810b_B1902b,SRR17170404.fastq.gz,1
AAVS1-1655+1656_A1810b_B1902c,AAVS1-1655+1656_A1810b_B1902c,SRR17170403.fastq.gz,1
AAVS1-1655+1656_A1810c_B1883a,AAVS1-1655+1656_A1810c_B1883a,SRR17170402.fastq.gz,1
AAVS1-1655+1656_A1810c_B1883b,AAVS1-1655+1656_A1810c_B1883b,SRR17170401.fastq.gz,1
AAVS1-1655+1656_A1810c_B1883c,AAVS1-1655+1656_A1810c_B1883c,SRR17170400.fastq.gz,1
AAVS1-1655+1656_A1810c_B1902a,AAVS1-1655+1656_A1810c_B1902a,SRR17170399.fastq.gz,1
AAVS1-1655+1656_A1810c_B1902b,AAVS1-1655+1656_A1810c_B1902b,SRR17170398.fastq.gz,1
AAVS1-1655+1656_A1810c_B1902c,AAVS1-1655+1656_A1810c_B1902c,SRR17170397.fastq.gz,1
AAVS1-1655+1656_A1890a_B1902a,AAVS1-1655+1656_A1890a_B1902a,SRR17170395.fastq.gz,1
AAVS1-1655+1656_A1890a_B1902b,AAVS1-1655+1656_A1890a_B1902b,SRR17170394.fastq.gz,1
AAVS1-1655+1656_A1890a_B1902c,AAVS1-1655+1656_A1890a_B1902c,SRR17170393.fastq.gz,1
AAVS1-1655+1656_A1890a_B1962a,AAVS1-1655+1656_A1890a_B1962a,SRR17170392.fastq.gz,1
AAVS1-1655+1656_A1890a_B1962b,AAVS1-1655+1656_A1890a_B1962b,SRR17170391.fastq.gz,1
AAVS1-1655+1656_A1890a_B1962c,AAVS1-1655+1656_A1890a_B1962c,SRR17170390.fastq.gz,1
